v-sweep,v-sweep_1,Vin,Iout,Vout,Vref
0.149,0.149,0.149,-9.11379E-07,0.9,0.9
0.15,0.15,0.15,-9.11379E-07,0.9,0.9
0.151,0.151,0.151,-9.11379E-07,0.9,0.9
0.152,0.152,0.152,-9.11379E-07,0.9,0.9
0.153,0.153,0.153,-9.11379E-07,0.9,0.9
0.154,0.154,0.154,-9.11379E-07,0.9,0.9
0.155,0.155,0.155,-9.11379E-07,0.9,0.9
0.156,0.156,0.156,-9.11379E-07,0.9,0.9
0.157,0.157,0.157,-9.11379E-07,0.9,0.9
0.158,0.158,0.158,-9.11379E-07,0.9,0.9
0.159,0.159,0.159,-9.11379E-07,0.9,0.9
0.16,0.16,0.16,-9.11379E-07,0.9,0.9
0.161,0.161,0.161,-9.11379E-07,0.9,0.9
0.162,0.162,0.162,-9.11379E-07,0.9,0.9
0.163,0.163,0.163,-9.11379E-07,0.9,0.9
0.164,0.164,0.164,-9.11379E-07,0.9,0.9
0.165,0.165,0.165,-9.11379E-07,0.9,0.9
0.166,0.166,0.166,-9.11379E-07,0.9,0.9
0.167,0.167,0.167,-9.11379E-07,0.9,0.9
0.168,0.168,0.168,-9.11379E-07,0.9,0.9
0.169,0.169,0.169,-9.11379E-07,0.9,0.9
0.17,0.17,0.17,-9.11379E-07,0.9,0.9
0.171,0.171,0.171,-9.11379E-07,0.9,0.9
0.172,0.172,0.172,-9.11379E-07,0.9,0.9
0.173,0.173,0.173,-9.11379E-07,0.9,0.9
0.174,0.174,0.174,-9.11379E-07,0.9,0.9
0.175,0.175,0.175,-9.11379E-07,0.9,0.9
0.176,0.176,0.176,-9.11379E-07,0.9,0.9
0.177,0.177,0.177,-9.11379E-07,0.9,0.9
0.178,0.178,0.178,-9.11379E-07,0.9,0.9
0.179,0.179,0.179,-9.11379E-07,0.9,0.9
0.18,0.18,0.18,-9.11379E-07,0.9,0.9
0.181,0.181,0.181,-9.11379E-07,0.9,0.9
0.182,0.182,0.182,-9.11379E-07,0.9,0.9
0.183,0.183,0.183,-9.11379E-07,0.9,0.9
0.184,0.184,0.184,-9.11379E-07,0.9,0.9
0.185,0.185,0.185,-9.11379E-07,0.9,0.9
0.186,0.186,0.186,-9.11379E-07,0.9,0.9
0.187,0.187,0.187,-9.11379E-07,0.9,0.9
0.188,0.188,0.188,-9.11379E-07,0.9,0.9
0.189,0.189,0.189,-9.11379E-07,0.9,0.9
0.19,0.19,0.19,-9.11379E-07,0.9,0.9
0.191,0.191,0.191,-9.11379E-07,0.9,0.9
0.192,0.192,0.192,-9.11379E-07,0.9,0.9
0.193,0.193,0.193,-9.11379E-07,0.9,0.9
0.194,0.194,0.194,-9.11379E-07,0.9,0.9
0.195,0.195,0.195,-9.11379E-07,0.9,0.9
0.196,0.196,0.196,-9.11379E-07,0.9,0.9
0.197,0.197,0.197,-9.11379E-07,0.9,0.9
0.198,0.198,0.198,-9.11379E-07,0.9,0.9
0.199,0.199,0.199,-9.11379E-07,0.9,0.9
0.2,0.2,0.2,-9.11379E-07,0.9,0.9
0.201,0.201,0.201,-9.11379E-07,0.9,0.9
0.202,0.202,0.202,-9.11379E-07,0.9,0.9
0.203,0.203,0.203,-9.11379E-07,0.9,0.9
0.204,0.204,0.204,-9.11379E-07,0.9,0.9
0.205,0.205,0.205,-9.11379E-07,0.9,0.9
0.206,0.206,0.206,-9.11379E-07,0.9,0.9
0.207,0.207,0.207,-9.11379E-07,0.9,0.9
0.208,0.208,0.208,-9.11379E-07,0.9,0.9
0.209,0.209,0.209,-9.11379E-07,0.9,0.9
0.21,0.21,0.21,-9.11379E-07,0.9,0.9
0.211,0.211,0.211,-9.11379E-07,0.9,0.9
0.212,0.212,0.212,-9.11379E-07,0.9,0.9
0.213,0.213,0.213,-9.11379E-07,0.9,0.9
0.214,0.214,0.214,-9.11379E-07,0.9,0.9
0.215,0.215,0.215,-9.11379E-07,0.9,0.9
0.216,0.216,0.216,-9.11379E-07,0.9,0.9
0.217,0.217,0.217,-9.11379E-07,0.9,0.9
0.218,0.218,0.218,-9.11379E-07,0.9,0.9
0.219,0.219,0.219,-9.11379E-07,0.9,0.9
0.22,0.22,0.22,-9.11379E-07,0.9,0.9
0.221,0.221,0.221,-9.11379E-07,0.9,0.9
0.222,0.222,0.222,-9.11379E-07,0.9,0.9
0.223,0.223,0.223,-9.11379E-07,0.9,0.9
0.224,0.224,0.224,-9.11379E-07,0.9,0.9
0.225,0.225,0.225,-9.11379E-07,0.9,0.9
0.226,0.226,0.226,-9.11379E-07,0.9,0.9
0.227,0.227,0.227,-9.11379E-07,0.9,0.9
0.228,0.228,0.228,-9.11379E-07,0.9,0.9
0.229,0.229,0.229,-9.11379E-07,0.9,0.9
0.23,0.23,0.23,-9.11379E-07,0.9,0.9
0.231,0.231,0.231,-9.11379E-07,0.9,0.9
0.232,0.232,0.232,-9.11379E-07,0.9,0.9
0.233,0.233,0.233,-9.11379E-07,0.9,0.9
0.234,0.234,0.234,-9.11379E-07,0.9,0.9
0.235,0.235,0.235,-9.11379E-07,0.9,0.9
0.236,0.236,0.236,-9.11379E-07,0.9,0.9
0.237,0.237,0.237,-9.11379E-07,0.9,0.9
0.238,0.238,0.238,-9.11379E-07,0.9,0.9
0.239,0.239,0.239,-9.11379E-07,0.9,0.9
0.24,0.24,0.24,-9.11379E-07,0.9,0.9
0.241,0.241,0.241,-9.11379E-07,0.9,0.9
0.242,0.242,0.242,-9.11379E-07,0.9,0.9
0.243,0.243,0.243,-9.11379E-07,0.9,0.9
0.244,0.244,0.244,-9.11379E-07,0.9,0.9
0.245,0.245,0.245,-9.11379E-07,0.9,0.9
0.246,0.246,0.246,-9.11379E-07,0.9,0.9
0.247,0.247,0.247,-9.11379E-07,0.9,0.9
0.248,0.248,0.248,-9.11379E-07,0.9,0.9
0.249,0.249,0.249,-9.11379E-07,0.9,0.9
0.25,0.25,0.25,-9.11379E-07,0.9,0.9
0.251,0.251,0.251,-9.11379E-07,0.9,0.9
0.252,0.252,0.252,-9.11379E-07,0.9,0.9
0.253,0.253,0.253,-9.11379E-07,0.9,0.9
0.254,0.254,0.254,-9.11379E-07,0.9,0.9
0.255,0.255,0.255,-9.11379E-07,0.9,0.9
0.256,0.256,0.256,-9.11379E-07,0.9,0.9
0.257,0.257,0.257,-9.11379E-07,0.9,0.9
0.258,0.258,0.258,-9.11379E-07,0.9,0.9
0.259,0.259,0.259,-9.11379E-07,0.9,0.9
0.26,0.26,0.26,-9.11379E-07,0.9,0.9
0.261,0.261,0.261,-9.11379E-07,0.9,0.9
0.262,0.262,0.262,-9.11379E-07,0.9,0.9
0.263,0.263,0.263,-9.11379E-07,0.9,0.9
0.264,0.264,0.264,-9.11379E-07,0.9,0.9
0.265,0.265,0.265,-9.11379E-07,0.9,0.9
0.266,0.266,0.266,-9.11379E-07,0.9,0.9
0.267,0.267,0.267,-9.11379E-07,0.9,0.9
0.268,0.268,0.268,-9.11379E-07,0.9,0.9
0.269,0.269,0.269,-9.11379E-07,0.9,0.9
0.27,0.27,0.27,-9.11379E-07,0.9,0.9
0.271,0.271,0.271,-9.11379E-07,0.9,0.9
0.272,0.272,0.272,-9.11379E-07,0.9,0.9
0.273,0.273,0.273,-9.11379E-07,0.9,0.9
0.274,0.274,0.274,-9.11379E-07,0.9,0.9
0.275,0.275,0.275,-9.11379E-07,0.9,0.9
0.276,0.276,0.276,-9.11379E-07,0.9,0.9
0.277,0.277,0.277,-9.11379E-07,0.9,0.9
0.278,0.278,0.278,-9.11379E-07,0.9,0.9
0.279,0.279,0.279,-9.11379E-07,0.9,0.9
0.28,0.28,0.28,-9.11379E-07,0.9,0.9
0.281,0.281,0.281,-9.11379E-07,0.9,0.9
0.282,0.282,0.282,-9.11379E-07,0.9,0.9
0.283,0.283,0.283,-9.11379E-07,0.9,0.9
0.284,0.284,0.284,-9.11379E-07,0.9,0.9
0.285,0.285,0.285,-9.11379E-07,0.9,0.9
0.286,0.286,0.286,-9.11379E-07,0.9,0.9
0.287,0.287,0.287,-9.11379E-07,0.9,0.9
0.288,0.288,0.288,-9.11379E-07,0.9,0.9
0.289,0.289,0.289,-9.11379E-07,0.9,0.9
0.29,0.29,0.29,-9.11379E-07,0.9,0.9
0.291,0.291,0.291,-9.11379E-07,0.9,0.9
0.292,0.292,0.292,-9.11379E-07,0.9,0.9
0.293,0.293,0.293,-9.11379E-07,0.9,0.9
0.294,0.294,0.294,-9.11379E-07,0.9,0.9
0.295,0.295,0.295,-9.11379E-07,0.9,0.9
0.296,0.296,0.296,-9.11379E-07,0.9,0.9
0.297,0.297,0.297,-9.11379E-07,0.9,0.9
0.298,0.298,0.298,-9.11379E-07,0.9,0.9
0.299,0.299,0.299,-9.11379E-07,0.9,0.9
0.3,0.3,0.3,-9.11379E-07,0.9,0.9
0.301,0.301,0.301,-9.11379E-07,0.9,0.9
0.302,0.302,0.302,-9.11379E-07,0.9,0.9
0.303,0.303,0.303,-9.11379E-07,0.9,0.9
0.304,0.304,0.304,-9.11379E-07,0.9,0.9
0.305,0.305,0.305,-9.11379E-07,0.9,0.9
0.306,0.306,0.306,-9.11379E-07,0.9,0.9
0.307,0.307,0.307,-9.11379E-07,0.9,0.9
0.308,0.308,0.308,-9.11379E-07,0.9,0.9
0.309,0.309,0.309,-9.11379E-07,0.9,0.9
0.31,0.31,0.31,-9.11379E-07,0.9,0.9
0.311,0.311,0.311,-9.11379E-07,0.9,0.9
0.312,0.312,0.312,-9.11379E-07,0.9,0.9
0.313,0.313,0.313,-9.11379E-07,0.9,0.9
0.314,0.314,0.314,-9.11379E-07,0.9,0.9
0.315,0.315,0.315,-9.11379E-07,0.9,0.9
0.316,0.316,0.316,-9.11379E-07,0.9,0.9
0.317,0.317,0.317,-9.11379E-07,0.9,0.9
0.318,0.318,0.318,-9.11379E-07,0.9,0.9
0.319,0.319,0.319,-9.11379E-07,0.9,0.9
0.32,0.32,0.32,-9.11379E-07,0.9,0.9
0.321,0.321,0.321,-9.11378E-07,0.9,0.9
0.322,0.322,0.322,-9.11378E-07,0.9,0.9
0.323,0.323,0.323,-9.11378E-07,0.9,0.9
0.324,0.324,0.324,-9.11378E-07,0.9,0.9
0.325,0.325,0.325,-9.11378E-07,0.9,0.9
0.326,0.326,0.326,-9.11378E-07,0.9,0.9
0.327,0.327,0.327,-9.11378E-07,0.9,0.9
0.328,0.328,0.328,-9.11378E-07,0.9,0.9
0.329,0.329,0.329,-9.11378E-07,0.9,0.9
0.33,0.33,0.33,-9.11378E-07,0.9,0.9
0.331,0.331,0.331,-9.11378E-07,0.9,0.9
0.332,0.332,0.332,-9.11378E-07,0.9,0.9
0.333,0.333,0.333,-9.11378E-07,0.9,0.9
0.334,0.334,0.334,-9.11378E-07,0.9,0.9
0.335,0.335,0.335,-9.11378E-07,0.9,0.9
0.336,0.336,0.336,-9.11378E-07,0.9,0.9
0.337,0.337,0.337,-9.11378E-07,0.9,0.9
0.338,0.338,0.338,-9.11378E-07,0.9,0.9
0.339,0.339,0.339,-9.11378E-07,0.9,0.9
0.34,0.34,0.34,-9.11378E-07,0.9,0.9
0.341,0.341,0.341,-9.11378E-07,0.9,0.9
0.342,0.342,0.342,-9.11378E-07,0.9,0.9
0.343,0.343,0.343,-9.11378E-07,0.9,0.9
0.344,0.344,0.344,-9.11378E-07,0.9,0.9
0.345,0.345,0.345,-9.11378E-07,0.9,0.9
0.346,0.346,0.346,-9.11378E-07,0.9,0.9
0.347,0.347,0.347,-9.11378E-07,0.9,0.9
0.348,0.348,0.348,-9.11378E-07,0.9,0.9
0.349,0.349,0.349,-9.11378E-07,0.9,0.9
0.35,0.35,0.35,-9.11378E-07,0.9,0.9
0.351,0.351,0.351,-9.11378E-07,0.9,0.9
0.352,0.352,0.352,-9.11378E-07,0.9,0.9
0.353,0.353,0.353,-9.11378E-07,0.9,0.9
0.354,0.354,0.354,-9.11378E-07,0.9,0.9
0.355,0.355,0.355,-9.11378E-07,0.9,0.9
0.356,0.356,0.356,-9.11378E-07,0.9,0.9
0.357,0.357,0.357,-9.11378E-07,0.9,0.9
0.358,0.358,0.358,-9.11378E-07,0.9,0.9
0.359,0.359,0.359,-9.11378E-07,0.9,0.9
0.36,0.36,0.36,-9.11378E-07,0.9,0.9
0.361,0.361,0.361,-9.11378E-07,0.9,0.9
0.362,0.362,0.362,-9.11378E-07,0.9,0.9
0.363,0.363,0.363,-9.11378E-07,0.9,0.9
0.364,0.364,0.364,-9.11378E-07,0.9,0.9
0.365,0.365,0.365,-9.11378E-07,0.9,0.9
0.366,0.366,0.366,-9.11378E-07,0.9,0.9
0.367,0.367,0.367,-9.11378E-07,0.9,0.9
0.368,0.368,0.368,-9.11378E-07,0.9,0.9
0.369,0.369,0.369,-9.11378E-07,0.9,0.9
