Vin,Vout,Vref
0.48,0.004040895,0.7
0.481,0.004043792,0.7
0.482,0.004046769,0.7
0.483,0.004049827,0.7
0.484,0.004052969,0.7
0.485,0.004056198,0.7
0.486,0.004059515,0.7
0.487,0.004062925,0.7
0.488,0.004066428,0.7
0.489,0.004070026,0.7
0.49,0.004073727,0.7
0.491,0.004077525,0.7
0.492,0.00408143,0.7
0.493,0.004085441,0.7
0.494,0.004089564,0.7
0.495,0.004093799,0.7
0.496,0.004098151,0.7
0.497,0.004102622,0.7
0.498,0.004107217,0.7
0.499,0.004111936,0.7
0.5,0.004116787,0.7
0.501,0.004121769,0.7
0.502,0.004126888,0.7
0.503,0.004132149,0.7
0.504,0.004137553,0.7
0.505,0.004143106,0.7
0.506,0.00414881,0.7
0.507,0.004154671,0.7
0.508,0.004160693,0.7
0.509,0.00416688,0.7
0.51,0.004173236,0.7
0.511,0.004179767,0.7
0.512,0.004186477,0.7
0.513,0.004193369,0.7
0.514,0.004200451,0.7
0.515,0.004207727,0.7
0.516,0.004215201,0.7
0.517,0.004222881,0.7
0.518,0.00423077,0.7
0.519,0.004238874,0.7
0.52,0.004247202,0.7
0.521,0.004255756,0.7
0.522,0.004264543,0.7
0.523,0.004273571,0.7
0.524,0.004282845,0.7
0.525,0.004292373,0.7
0.526,0.004302161,0.7
0.527,0.004312216,0.7
0.528,0.004322546,0.7
0.529,0.004333158,0.7
0.53,0.004344058,0.7
0.531,0.004355256,0.7
0.532,0.004366759,0.7
0.533,0.004378576,0.7
0.534,0.004390715,0.7
0.535,0.004403185,0.7
0.536,0.004415994,0.7
0.537,0.004429152,0.7
0.538,0.00444267,0.7
0.539,0.004456554,0.7
0.54,0.004470817,0.7
0.541,0.004485468,0.7
0.542,0.004500516,0.7
0.543,0.004515975,0.7
0.544,0.004531854,0.7
0.545,0.004548164,0.7
0.546,0.004564918,0.7
0.547,0.004582126,0.7
0.548,0.004599804,0.7
0.549,0.004617961,0.7
0.55,0.00463661,0.7
0.551,0.004655768,0.7
0.552,0.004675445,0.7
0.553,0.004695656,0.7
0.554,0.004716414,0.7
0.555,0.004737738,0.7
0.556,0.004759639,0.7
0.557,0.004782133,0.7
0.558,0.004805239,0.7
0.559,0.004828971,0.7
0.56,0.004853346,0.7
0.561,0.004878382,0.7
0.562,0.004904097,0.7
0.563,0.004930508,0.7
0.564,0.004957636,0.7
0.565,0.004985499,0.7
0.566,0.005014115,0.7
0.567,0.005043507,0.7
0.568,0.005073694,0.7
0.569,0.005104701,0.7
0.57,0.005136547,0.7
0.571,0.005169253,0.7
0.572,0.005202846,0.7
0.573,0.005237349,0.7
0.574,0.005272787,0.7
0.575,0.005309182,0.7
0.576,0.005346565,0.7
0.577,0.005384957,0.7
0.578,0.005424392,0.7
0.579,0.005464892,0.7
0.58,0.005506489,0.7
0.581,0.005549214,0.7
0.582,0.005593094,0.7
0.583,0.005638164,0.7
0.584,0.005684454,0.7
0.585,0.005731998,0.7
0.586,0.005780831,0.7
0.587,0.005830987,0.7
0.588,0.005882502,0.7
0.589,0.005935414,0.7
0.59,0.005989762,0.7
0.591,0.006045584,0.7
0.592,0.00610292,0.7
0.593,0.006161812,0.7
0.594,0.006222305,0.7
0.595,0.006284441,0.7
0.596,0.006348266,0.7
0.597,0.006413826,0.7
0.598,0.006481171,0.7
0.599,0.006550351,0.7
0.6,0.006621412,0.7
0.601,0.006694411,0.7
0.602,0.006769402,0.7
0.603,0.00684644,0.7
0.604,0.006925584,0.7
0.605,0.007006891,0.7
0.606,0.007090423,0.7
0.607,0.007176246,0.7
0.608,0.007264422,0.7
0.609,0.007355018,0.7
0.61,0.007448105,0.7
0.611,0.007543755,0.7
0.612,0.007642041,0.7
0.613,0.007743038,0.7
0.614,0.007846828,0.7
0.615,0.007953491,0.7
0.616,0.008063112,0.7
0.617,0.008175778,0.7
0.618,0.008291579,0.7
0.619,0.008410608,0.7
0.62,0.008532963,0.7
0.621,0.008658745,0.7
0.622,0.008788057,0.7
0.623,0.008921005,0.7
0.624,0.009057704,0.7
0.625,0.009198269,0.7
0.626,0.009342819,0.7
0.627,0.009491482,0.7
